,date,home_team,score,away_team
225,12-06-2023,Portland Timbers,1 - 0,FC Dallas
226,22-06-2023,Austin,3 - 0,FC Dallas
227,02-07-2023,FC Dallas,2 - 0,Los Angeles FC
228,05-07-2023,FC Dallas,0 - 1,DC United
229,09-07-2023,Colorado Rapids,2 - 1,FC Dallas
230,16-07-2023,Seattle Sounders FC,? - ?,FC Dallas
231,26-02-2023,FC Cincinnati,2 - 1,Houston Dynamo
232,05-03-2023,New England Revolution,3 - 0,Houston Dynamo
233,19-03-2023,Houston Dynamo,2 - 0,Austin
234,26-03-2023,Houston Dynamo,1 - 0,New York City FC
235,02-04-2023,San Jose Earthquakes,2 - 1,Houston Dynamo
236,09-04-2023,Houston Dynamo,3 - 0,LA Galaxy
237,15-04-2023,New York Red Bulls,1 - 1,Houston Dynamo
238,23-04-2023,Houston Dynamo,1 - 0,Club Internacional de Fútbol Miami
239,07-05-2023,Houston Dynamo,0 - 0,Real Salt Lake
240,14-05-2023,Houston Dynamo,0 - 1,Seattle Sounders FC
241,18-05-2023,Minnesota Utd,1 - 0,Houston Dynamo
242,21-05-2023,FC Dallas,1 - 1,Houston Dynamo
243,28-05-2023,Houston Dynamo,2 - 1,Austin
244,01-06-2023,Vancouver Whitecaps,6 - 2,Houston Dynamo
245,04-06-2023,St. Louis City,3 - 0,Houston Dynamo
246,11-06-2023,Houston Dynamo,4 - 0,Los Angeles FC
247,15-06-2023,Los Angeles FC,0 - 1,Houston Dynamo
248,22-06-2023,Houston Dynamo,4 - 1,San Jose Earthquakes
249,25-06-2023,Austin,3 - 0,Houston Dynamo
250,02-07-2023,Seattle Sounders FC,1 - 0,Houston Dynamo
251,09-07-2023,Houston Dynamo,2 - 2,Sporting Kansas City
252,13-07-2023,Houston Dynamo,0 - 3,Minnesota Utd
253,16-07-2023,Colorado Rapids,? - ?,Houston Dynamo
254,05-03-2023,FC Dallas,3 - 1,LA Galaxy
255,12-03-2023,Sporting Kansas City,0 - 0,LA Galaxy
256,19-03-2023,LA Galaxy,1 - 1,Vancouver Whitecaps
257,25-03-2023,Portland Timbers,0 - 0,LA Galaxy
258,01-04-2023,LA Galaxy,1 - 2,Seattle Sounders FC
259,09-04-2023,Houston Dynamo,3 - 0,LA Galaxy
260,16-04-2023,LA Galaxy,2 - 3,Los Angeles FC
261,23-04-2023,LA Galaxy,2 - 0,Austin
262,29-04-2023,Orlando City SC,2 - 0,LA Galaxy
263,07-05-2023,LA Galaxy,1 - 3,Colorado Rapids
264,15-05-2023,LA Galaxy,2 - 1,San Jose Earthquakes
265,17-05-2023,Columbus Crew,2 - 0,LA Galaxy
266,20-05-2023,DC United,3 - 0,LA Galaxy
267,28-05-2023,LA Galaxy,0 - 1,Charlotte
268,01-06-2023,Real Salt Lake,2 - 3,LA Galaxy
269,11-06-2023,St. Louis City,1 - 1,LA Galaxy
270,22-06-2023,LA Galaxy,2 - 2,Sporting Kansas City
271,25-06-2023,Colorado Rapids,0 - 0,LA Galaxy
272,02-07-2023,San Jose Earthquakes,2 - 2,LA Galaxy
273,05-07-2023,LA Galaxy,2 - 1,Los Angeles FC
274,09-07-2023,LA Galaxy,3 - 1,Philadelphia Union
275,16-07-2023,Vancouver Whitecaps,? - ?,LA Galaxy
276,04-03-2023,Los Angeles FC,3 - 2,Portland Timbers
277,13-03-2023,Los Angeles FC,4 - 0,New England Revolution
278,18-03-2023,Seattle Sounders FC,0 - 0,Los Angeles FC
279,26-03-2023,Los Angeles FC,2 - 1,FC Dallas
280,02-04-2023,Colorado Rapids,0 - 0,Los Angeles FC
281,08-04-2023,Los Angeles FC,3 - 0,Austin
282,16-04-2023,LA Galaxy,2 - 3,Los Angeles FC
283,23-04-2023,Nashville SC (MLS),1 - 1,Los Angeles FC
284,06-05-2023,San Jose Earthquakes,2 - 1,Los Angeles FC
285,14-05-2023,Real Salt Lake,0 - 3,Los Angeles FC
286,18-05-2023,Los Angeles FC,1 - 1,Sporting Kansas City
287,21-05-2023,Los Angeles FC,2 - 1,San Jose Earthquakes
288,08-06-2023,Los Angeles FC,0 - 0,Atlanta United FC
289,11-06-2023,Houston Dynamo,4 - 0,Los Angeles FC
290,15-06-2023,Los Angeles FC,0 - 1,Houston Dynamo
291,18-06-2023,Sporting Kansas City,1 - 2,Los Angeles FC
292,22-06-2023,Los Angeles FC,1 - 0,Seattle Sounders FC
293,25-06-2023,Los Angeles FC,2 - 3,Vancouver Whitecaps
294,02-07-2023,FC Dallas,2 - 0,Los Angeles FC
295,05-07-2023,LA Galaxy,2 - 1,Los Angeles FC
296,09-07-2023,Los Angeles FC,1 - 1,San Jose Earthquakes
297,13-07-2023,Los Angeles FC,3 - 0,St. Louis City
298,16-07-2023,Minnesota Utd,? - ?,Los Angeles FC
299,26-02-2023,FC Dallas,0 - 1,Minnesota Utd
300,12-03-2023,Minnesota Utd,1 - 1,New York Red Bulls
301,19-03-2023,Colorado Rapids,1 - 2,Minnesota Utd
302,26-03-2023,Minnesota Utd,1 - 1,Vancouver Whitecaps
303,02-04-2023,St. Louis City,0 - 1,Minnesota Utd
304,09-04-2023,Chicago Fire,2 - 1,Minnesota Utd
305,16-04-2023,Minnesota Utd,1 - 2,Orlando City SC
306,23-04-2023,Seattle Sounders FC,1 - 0,Minnesota Utd
307,01-05-2023,Minnesota Utd,0 - 0,FC Dallas
308,07-05-2023,Vancouver Whitecaps,3 - 2,Minnesota Utd
309,14-05-2023,Sporting Kansas City,3 - 0,Minnesota Utd
310,18-05-2023,Minnesota Utd,1 - 0,Houston Dynamo
311,21-05-2023,Portland Timbers,0 - 1,Minnesota Utd
312,28-05-2023,Minnesota Utd,1 - 1,Real Salt Lake
313,01-06-2023,Austin,2 - 1,Minnesota Utd
314,04-06-2023,Minnesota Utd,1 - 1,Toronto FC
315,10-06-2023,Montreal Impact,4 - 0,Minnesota Utd
316,25-06-2023,Real Salt Lake,2 - 2,Minnesota Utd
