,date,home_team,score,away_team
240,14-05-2023,Krylya Samara,1 - 1,Lokomotiv M
241,21-05-2023,Krylya Samara,3 - 0,Ural
242,28-05-2023,Fakel Voronezh,2 - 1,Krylya Samara
243,03-06-2023,Krylya Samara,1 - 0,Spartak M
244,17-07-2022,Lokomotiv M,1 - 1,Nizhny Novgorod
245,24-07-2022,Lokomotiv M,2 - 2,Rostov
246,30-07-2022,Zenit St Petersburg,5 - 0,Lokomotiv M
247,06-08-2022,Krasnodar,3 - 0,Lokomotiv M
248,13-08-2022,Lokomotiv M,1 - 1,Krylya Samara
249,20-08-2022,FC Khimki,0 - 3,Lokomotiv M
250,28-08-2022,Lokomotiv M,5 - 1,Gazovik Orenburg
251,04-09-2022,Lokomotiv M,1 - 2,Terek Grozny
252,11-09-2022,Fakel Voronezh,2 - 0,Lokomotiv M
253,18-09-2022,Spartak M,1 - 0,Lokomotiv M
254,01-10-2022,Lokomotiv M,2 - 4,Ural
255,08-10-2022,FK SOCHI,4 - 0,Lokomotiv M
256,15-10-2022,Torpedo Moskva,0 - 1,Lokomotiv M
257,22-10-2022,Lokomotiv M,1 - 3,Dinamo Moscow
258,29-10-2022,Lokomotiv M,0 - 1,CSKA Moscow
259,06-11-2022,Ural,2 - 2,Lokomotiv M
260,12-11-2022,Lokomotiv M,1 - 2,Spartak M
261,04-03-2023,Rostov,1 - 3,Lokomotiv M
262,11-03-2023,Terek Grozny,0 - 1,Lokomotiv M
263,18-03-2023,Lokomotiv M,3 - 2,Krasnodar
264,01-04-2023,Nizhny Novgorod,0 - 4,Lokomotiv M
265,09-04-2023,Lokomotiv M,1 - 2,Zenit St Petersburg
266,16-04-2023,Gazovik Orenburg,1 - 4,Lokomotiv M
267,23-04-2023,CSKA Moscow,1 - 1,Lokomotiv M
268,30-04-2023,Lokomotiv M,5 - 1,FC Khimki
269,08-05-2023,Lokomotiv M,3 - 0,FK SOCHI
270,14-05-2023,Krylya Samara,1 - 1,Lokomotiv M
271,20-05-2023,Lokomotiv M,1 - 0,Fakel Voronezh
272,28-05-2023,Dinamo Moscow,2 - 4,Lokomotiv M
273,03-06-2023,Lokomotiv M,3 - 1,Torpedo Moskva
274,17-07-2022,Lokomotiv M,1 - 1,Nizhny Novgorod
275,24-07-2022,FC Khimki,3 - 0,Nizhny Novgorod
276,31-07-2022,Nizhny Novgorod,2 - 2,CSKA Moscow
277,07-08-2022,FK SOCHI,2 - 1,Nizhny Novgorod
278,14-08-2022,Nizhny Novgorod,3 - 4,Rostov
279,20-08-2022,Ural,0 - 1,Nizhny Novgorod
280,27-08-2022,Nizhny Novgorod,2 - 2,Dinamo Moscow
281,03-09-2022,Nizhny Novgorod,3 - 1,Fakel Voronezh
282,10-09-2022,Terek Grozny,1 - 3,Nizhny Novgorod
283,18-09-2022,Nizhny Novgorod,0 - 2,Gazovik Orenburg
284,02-10-2022,Nizhny Novgorod,1 - 2,Spartak M
285,09-10-2022,Torpedo Moskva,0 - 0,Nizhny Novgorod
286,16-10-2022,Nizhny Novgorod,0 - 3,Zenit St Petersburg
287,22-10-2022,Nizhny Novgorod,0 - 2,Krasnodar
288,30-10-2022,Krylya Samara,2 - 1,Nizhny Novgorod
