,date,home_team,score,away_team
264,27-05-2023,Lille,2 - 1,Nantes
265,03-06-2023,Troyes,1 - 1,Lille
266,07-08-2022,Rennes,0 - 1,Lorient
267,21-08-2022,Toulouse,2 - 2,Lorient
268,28-08-2022,Lorient,2 - 1,Clermont
269,31-08-2022,Lens,5 - 2,Lorient
270,04-09-2022,Ajaccio,0 - 1,Lorient
271,07-09-2022,Lorient,3 - 1,Lyon
272,11-09-2022,Lorient,3 - 2,Nantes
273,16-09-2022,Auxerre,1 - 3,Lorient
274,02-10-2022,Lorient,2 - 1,Lille
275,09-10-2022,Brest,1 - 2,Lorient
276,15-10-2022,Lorient,0 - 0,Reims
277,23-10-2022,Troyes,2 - 2,Lorient
278,30-10-2022,Lorient,1 - 2,Nice
279,06-11-2022,Lorient,1 - 2,Paris SG
280,13-11-2022,Strasbourg,1 - 1,Lorient
281,29-12-2022,Lorient,0 - 2,Montpellier
282,01-01-2023,Angers,1 - 2,Lorient
283,11-01-2023,Lorient,2 - 2,Monaco
284,14-01-2023,Marseille,3 - 1,Lorient
285,27-01-2023,Lorient,2 - 1,Rennes
286,01-02-2023,Reims,4 - 2,Lorient
287,05-02-2023,Lorient,0 - 0,Angers
288,12-02-2023,Nantes,1 - 0,Lorient
289,19-02-2023,Lorient,3 - 0,Ajaccio
290,26-02-2023,Lorient,0 - 1,Auxerre
291,05-03-2023,Lyon,0 - 0,Lorient
292,12-03-2023,Lorient,2 - 0,Troyes
293,19-03-2023,Nice,1 - 1,Lorient
294,02-04-2023,Lille,3 - 1,Lorient
295,09-04-2023,Lorient,0 - 0,Marseille
296,16-04-2023,Monaco,3 - 1,Lorient
297,23-04-2023,Lorient,0 - 1,Toulouse
298,30-04-2023,Paris SG,1 - 3,Lorient
299,07-05-2023,Lorient,2 - 1,Brest
300,14-05-2023,Montpellier,1 - 1,Lorient
301,21-05-2023,Lorient,1 - 3,Lens
302,27-05-2023,Clermont,2 - 0,Lorient
303,03-06-2023,Lorient,2 - 1,Strasbourg
304,05-08-2022,Lyon,2 - 1,Ajaccio
305,19-08-2022,Lyon,4 - 1,Troyes
306,28-08-2022,Reims,1 - 1,Lyon
307,31-08-2022,Lyon,2 - 1,Auxerre
308,03-09-2022,Lyon,5 - 0,Angers
309,07-09-2022,Lorient,3 - 1,Lyon
310,11-09-2022,Monaco,2 - 1,Lyon
311,18-09-2022,Lyon,0 - 1,Paris SG
312,02-10-2022,Lens,1 - 0,Lyon
313,07-10-2022,Lyon,1 - 1,Toulouse
314,16-10-2022,Rennes,3 - 2,Lyon
315,22-10-2022,Montpellier,1 - 2,Lyon
316,30-10-2022,Lyon,1 - 0,Lille
317,06-11-2022,Marseille,1 - 0,Lyon
318,11-11-2022,Lyon,1 - 1,Nice
319,28-12-2022,Brest,2 - 4,Lyon
320,01-01-2023,Lyon,0 - 1,Clermont
321,11-01-2023,Nantes,0 - 0,Lyon
322,14-01-2023,Lyon,1 - 2,Strasbourg
323,29-01-2023,Ajaccio,0 - 2,Lyon
324,01-02-2023,Lyon,0 - 0,Brest
325,04-02-2023,Troyes,1 - 3,Lyon
326,12-02-2023,Lyon,2 - 1,Lens
327,17-02-2023,Auxerre,2 - 1,Lyon
328,25-02-2023,Angers,1 - 3,Lyon
329,05-03-2023,Lyon,0 - 0,Lorient
330,10-03-2023,Lille,3 - 3,Lyon
331,17-03-2023,Lyon,1 - 1,Nantes
332,02-04-2023,Paris SG,0 - 1,Lyon
333,09-04-2023,Lyon,3 - 1,Rennes
334,14-04-2023,Toulouse,1 - 2,Lyon
335,23-04-2023,Lyon,1 - 2,Marseille
336,28-04-2023,Strasbourg,1 - 2,Lyon
337,07-05-2023,Lyon,5 - 4,Montpellier
338,14-05-2023,Clermont,2 - 1,Lyon
339,19-05-2023,Lyon,3 - 1,Monaco
340,27-05-2023,Lyon,3 - 0,Reims
341,03-06-2023,Nice,3 - 1,Lyon
342,07-08-2022,Marseille,4 - 1,Reims
343,14-08-2022,Brest,1 - 1,Marseille
344,20-08-2022,Marseille,2 - 1,Nantes
345,28-08-2022,Nice,0 - 3,Marseille
346,31-08-2022,Marseille,1 - 0,Clermont
347,03-09-2022,Auxerre,0 - 2,Marseille
348,10-09-2022,Marseille,2 - 1,Lille
349,18-09-2022,Marseille,1 - 1,Rennes
350,30-09-2022,Angers,0 - 3,Marseille
351,08-10-2022,Marseille,1 - 2,Ajaccio
352,16-10-2022,Paris SG,1 - 0,Marseille
353,22-10-2022,Marseille,0 - 1,Lens
354,29-10-2022,Strasbourg,2 - 2,Marseille
355,06-11-2022,Marseille,1 - 0,Lyon
356,13-11-2022,Monaco,2 - 3,Marseille
357,29-12-2022,Marseille,6 - 1,Toulouse
358,02-01-2023,Montpellier,1 - 2,Marseille
359,11-01-2023,Troyes,0 - 2,Marseille
360,14-01-2023,Marseille,3 - 1,Lorient
361,28-01-2023,Marseille,1 - 1,Monaco
362,01-02-2023,Nantes,0 - 2,Marseille
