,date,home_team,score,away_team
291,23-10-2022,NEC Nijmegen,3 - 3,GO Ahead Eagles
292,29-10-2022,GO Ahead Eagles,3 - 1,Excelsior
293,06-11-2022,Twente,1 - 1,GO Ahead Eagles
294,13-11-2022,GO Ahead Eagles,2 - 2,Vitesse
295,07-01-2023,Fortuna Sittard,0 - 2,GO Ahead Eagles
296,15-01-2023,GO Ahead Eagles,2 - 2,Utrecht
297,25-01-2023,GO Ahead Eagles,1 - 4,AZ Alkmaar
298,28-01-2023,PSV Eindhoven,2 - 0,GO Ahead Eagles
299,01-02-2023,Waalwijk,3 - 1,GO Ahead Eagles
300,05-02-2023,GO Ahead Eagles,1 - 0,NEC Nijmegen
301,12-02-2023,Sparta Rotterdam,2 - 1,GO Ahead Eagles
302,19-02-2023,GO Ahead Eagles,2 - 0,Twente
303,26-02-2023,FC Emmen,2 - 2,GO Ahead Eagles
304,05-03-2023,Cambuur,4 - 1,GO Ahead Eagles
305,18-03-2023,Utrecht,1 - 2,GO Ahead Eagles
306,02-04-2023,GO Ahead Eagles,0 - 0,Ajax
307,08-04-2023,Vitesse,2 - 0,GO Ahead Eagles
308,14-04-2023,Excelsior,2 - 1,GO Ahead Eagles
309,19-04-2023,GO Ahead Eagles,3 - 2,Waalwijk
310,23-04-2023,GO Ahead Eagles,2 - 0,Fortuna Sittard
311,07-05-2023,GO Ahead Eagles,1 - 1,Groningen
312,14-05-2023,Feyenoord,3 - 0,GO Ahead Eagles
313,21-05-2023,GO Ahead Eagles,3 - 0,FC Volendam
314,28-05-2023,Heerenveen,2 - 0,GO Ahead Eagles
315,07-08-2022,Groningen,2 - 2,FC Volendam
316,14-08-2022,Ajax,6 - 1,Groningen
317,21-08-2022,Groningen,1 - 0,GO Ahead Eagles
318,26-08-2022,NEC Nijmegen,1 - 1,Groningen
319,04-09-2022,Groningen,0 - 1,Vitesse
320,11-09-2022,Cambuur,0 - 1,Groningen
321,17-09-2022,Sparta Rotterdam,2 - 1,Groningen
322,01-10-2022,Groningen,1 - 4,AZ Alkmaar
323,07-10-2022,Groningen,2 - 3,Waalwijk
324,16-10-2022,Twente,3 - 0,Groningen
325,23-10-2022,Groningen,4 - 2,PSV Eindhoven
326,30-10-2022,FC Emmen,0 - 0,Groningen
327,06-11-2022,Utrecht,2 - 1,Groningen
328,13-11-2022,Groningen,2 - 3,Fortuna Sittard
329,08-01-2023,Excelsior,1 - 0,Groningen
330,15-01-2023,Groningen,0 - 3,Feyenoord
331,22-01-2023,Heerenveen,3 - 1,Groningen
332,26-01-2023,Groningen,0 - 1,Cambuur
333,29-01-2023,FC Volendam,3 - 2,Groningen
334,05-02-2023,Groningen,1 - 1,Twente
335,11-02-2023,PSV Eindhoven,6 - 0,Groningen
336,18-02-2023,Groningen,1 - 1,FC Emmen
337,25-02-2023,Groningen,3 - 0,Excelsior
338,04-03-2023,Feyenoord,1 - 0,Groningen
339,11-03-2023,AZ Alkmaar,1 - 0,Groningen
340,19-03-2023,Groningen,0 - 2,Heerenveen
341,02-04-2023,Fortuna Sittard,3 - 1,Groningen
342,07-04-2023,Groningen,1 - 2,Utrecht
343,15-04-2023,Waalwijk,2 - 1,Groningen
344,25-04-2023,Groningen,0 - 1,NEC Nijmegen
345,07-05-2023,GO Ahead Eagles,1 - 1,Groningen
346,16-05-2023,Groningen,2 - 3,Ajax
347,21-05-2023,Vitesse,6 - 0,Groningen
348,28-05-2023,Groningen,0 - 5,Sparta Rotterdam
349,05-08-2022,Heerenveen,0 - 0,Sparta Rotterdam
350,13-08-2022,Feyenoord,0 - 0,Heerenveen
351,20-08-2022,Vitesse,0 - 4,Heerenveen
352,27-08-2022,Heerenveen,2 - 1,Fortuna Sittard
353,04-09-2022,Heerenveen,0 - 0,NEC Nijmegen
354,10-09-2022,Ajax,5 - 0,Heerenveen
355,18-09-2022,Heerenveen,2 - 1,Twente
356,02-10-2022,FC Emmen,0 - 0,Heerenveen
357,09-10-2022,Heerenveen,0 - 1,PSV Eindhoven
358,15-10-2022,GO Ahead Eagles,1 - 1,Heerenveen
359,23-10-2022,FC Volendam,1 - 3,Heerenveen
360,29-10-2022,Heerenveen,1 - 2,Utrecht
361,05-11-2022,Excelsior,0 - 1,Heerenveen
362,13-11-2022,Heerenveen,2 - 1,Cambuur
363,07-01-2023,Waalwijk,0 - 0,Heerenveen
364,14-01-2023,Heerenveen,0 - 2,AZ Alkmaar
365,22-01-2023,Heerenveen,3 - 1,Groningen
366,25-01-2023,Fortuna Sittard,2 - 0,Heerenveen
367,28-01-2023,Heerenveen,1 - 3,Vitesse
368,04-02-2023,Utrecht,1 - 0,Heerenveen
369,12-02-2023,Heerenveen,1 - 2,Feyenoord
370,19-02-2023,Cambuur,1 - 2,Heerenveen
371,25-02-2023,Heerenveen,1 - 4,Waalwijk
372,04-03-2023,Twente,3 - 3,Heerenveen
373,12-03-2023,Heerenveen,2 - 4,Ajax
374,19-03-2023,Groningen,0 - 2,Heerenveen
375,01-04-2023,AZ Alkmaar,1 - 1,Heerenveen
376,08-04-2023,Heerenveen,2 - 1,FC Volendam
377,15-04-2023,Sparta Rotterdam,4 - 0,Heerenveen
378,22-04-2023,Heerenveen,2 - 3,FC Emmen
379,06-05-2023,NEC Nijmegen,2 - 3,Heerenveen
380,13-05-2023,Heerenveen,0 - 0,Excelsior
381,21-05-2023,PSV Eindhoven,3 - 3,Heerenveen
382,28-05-2023,Heerenveen,2 - 0,GO Ahead Eagles
383,01-06-2023,Heerenveen,1 - 2,Twente
384,04-06-2023,Twente,4 - 0,Heerenveen
385,23-05-2023,NAC Breda,1 - 0,MVV
386,27-05-2023,MVV,1 - 4,NAC Breda
387,23-05-2023,NAC Breda,1 - 0,MVV
388,27-05-2023,MVV,1 - 4,NAC Breda
389,31-05-2023,NAC Breda,1 - 2,FC Emmen
390,03-06-2023,FC Emmen,2 - 0,NAC Breda
391,07-08-2022,NEC Nijmegen,0 - 1,Twente
