,date,home_team,score,away_team
169,12-11-2022,Kilmarnock,1 - 0,Hibernian
170,15-12-2022,Rangers,3 - 2,Hibernian
171,24-12-2022,Hibernian,4 - 0,Livingston
172,28-12-2022,Hibernian,0 - 4,Celtic
173,02-01-2023,Hearts,3 - 0,Hibernian
174,08-01-2023,Motherwell,2 - 3,Hibernian
175,14-01-2023,Hibernian,2 - 2,Dundee United
176,28-01-2023,Hibernian,6 - 0,Aberdeen
177,31-01-2023,Ross County,1 - 1,Hibernian
178,04-02-2023,St Mirren,0 - 1,Hibernian
179,18-02-2023,Hibernian,2 - 0,Kilmarnock
180,04-03-2023,Livingston,1 - 4,Hibernian
181,08-03-2023,Hibernian,1 - 4,Rangers
182,18-03-2023,Celtic,3 - 1,Hibernian
183,01-04-2023,Hibernian,1 - 3,Motherwell
184,09-04-2023,Dundee United,2 - 1,Hibernian
185,15-04-2023,Hibernian,1 - 0,Hearts
186,22-04-2023,St Johnstone,1 - 1,Hibernian
187,06-05-2023,Hibernian,2 - 1,St Mirren
188,13-05-2023,Aberdeen,0 - 0,Hibernian
189,21-05-2023,Hibernian,1 - 3,Rangers
190,24-05-2023,Hibernian,4 - 2,Celtic
191,27-05-2023,Hearts,1 - 1,Hibernian
192,30-07-2022,Kilmarnock,1 - 1,Dundee United
193,06-08-2022,Rangers,2 - 0,Kilmarnock
194,14-08-2022,Kilmarnock,0 - 5,Celtic
195,20-08-2022,Ross County,1 - 0,Kilmarnock
196,27-08-2022,Kilmarnock,2 - 1,Motherwell
197,03-09-2022,Hibernian,1 - 0,Kilmarnock
198,17-09-2022,Livingston,1 - 0,Kilmarnock
199,01-10-2022,Aberdeen,4 - 1,Kilmarnock
200,05-10-2022,Kilmarnock,2 - 1,St Johnstone
201,09-10-2022,Kilmarnock,2 - 2,Hearts
202,15-10-2022,St Mirren,0 - 0,Kilmarnock
203,22-10-2022,Kilmarnock,1 - 0,Ross County
204,29-10-2022,St Johnstone,1 - 0,Kilmarnock
205,04-11-2022,Kilmarnock,2 - 3,Livingston
206,09-11-2022,Dundee United,4 - 0,Kilmarnock
207,12-11-2022,Kilmarnock,1 - 0,Hibernian
208,17-12-2022,Hearts,3 - 1,Kilmarnock
209,23-12-2022,Motherwell,2 - 2,Kilmarnock
210,28-12-2022,Kilmarnock,2 - 1,Aberdeen
211,02-01-2023,Kilmarnock,0 - 0,St Mirren
212,07-01-2023,Celtic,2 - 0,Kilmarnock
213,18-01-2023,Kilmarnock,2 - 3,Rangers
214,28-01-2023,Ross County,3 - 0,Kilmarnock
215,01-02-2023,Kilmarnock,1 - 0,Dundee United
