,date,home_team,score,away_team
171,08-10-2022,FC Copenhagen,1 - 1,FC Nordsjaelland
172,16-10-2022,FC Nordsjaelland,1 - 1,AGF Aarhus
173,23-10-2022,Randers FC,0 - 2,FC Nordsjaelland
174,28-10-2022,FC Nordsjaelland,2 - 0,AC Horsens
175,07-11-2022,Midtjylland,0 - 0,FC Nordsjaelland
176,13-11-2022,FC Nordsjaelland,5 - 1,AaB
177,19-02-2023,Lyngby Boldklub,1 - 1,FC Nordsjaelland
178,24-02-2023,FC Nordsjaelland,4 - 2,Odense BK
179,05-03-2023,Silkeborg IF,2 - 1,FC Nordsjaelland
180,12-03-2023,Viborg,1 - 1,FC Nordsjaelland
181,19-03-2023,FC Nordsjaelland,2 - 1,Brondby
182,02-04-2023,FC Copenhagen,2 - 1,FC Nordsjaelland
183,10-04-2023,FC Nordsjaelland,2 - 1,Brondby
184,17-04-2023,Randers FC,1 - 1,FC Nordsjaelland
185,23-04-2023,Viborg,1 - 0,FC Nordsjaelland
186,30-04-2023,FC Nordsjaelland,0 - 1,AGF Aarhus
187,08-05-2023,FC Nordsjaelland,3 - 2,FC Copenhagen
188,14-05-2023,AGF Aarhus,1 - 1,FC Nordsjaelland
189,22-05-2023,FC Nordsjaelland,3 - 1,Randers FC
190,29-05-2023,Brondby,5 - 1,FC Nordsjaelland
191,04-06-2023,FC Nordsjaelland,0 - 0,Viborg
192,17-07-2022,Lyngby Boldklub,2 - 2,Silkeborg IF
193,25-07-2022,AC Horsens,1 - 0,Lyngby Boldklub
194,01-08-2022,FC Nordsjaelland,2 - 1,Lyngby Boldklub
195,05-08-2022,Lyngby Boldklub,3 - 3,Midtjylland
196,15-08-2022,AGF Aarhus,1 - 0,Lyngby Boldklub
197,19-08-2022,Lyngby Boldklub,0 - 3,FC Copenhagen
198,28-08-2022,Viborg,2 - 1,Lyngby Boldklub
199,04-09-2022,Lyngby Boldklub,0 - 2,Randers FC
200,11-09-2022,AaB,1 - 1,Lyngby Boldklub
201,18-09-2022,Lyngby Boldklub,0 - 2,Odense BK
202,02-10-2022,Brondby,3 - 3,Lyngby Boldklub
203,07-10-2022,Lyngby Boldklub,1 - 1,Viborg
204,14-10-2022,Lyngby Boldklub,0 - 2,AaB
