,date,home_team,score,away_team
256,07-01-2023,Sydney FC,0 - 1,Wellington Phoenix
257,14-01-2023,Brisbane Roar,0 - 1,Wellington Phoenix
258,22-01-2023,Wellington Phoenix,2 - 1,Central Coast Mariners
259,28-01-2023,Wellington Phoenix,2 - 2,Perth Glory
260,03-02-2023,Melbourne Victory,3 - 1,Wellington Phoenix
261,12-02-2023,Macarthur,2 - 1,Wellington Phoenix
262,17-02-2023,Western United FC,0 - 3,Wellington Phoenix
263,24-02-2023,Central Coast Mariners,1 - 1,Wellington Phoenix
264,04-03-2023,Wellington Phoenix,2 - 1,Newcastle Jets
265,12-03-2023,Wellington Phoenix,1 - 0,Sydney FC
266,17-03-2023,Adelaide United,5 - 1,Wellington Phoenix
267,01-04-2023,Wellington Phoenix,1 - 2,Melbourne Victory
268,10-04-2023,Melbourne City,4 - 1,Wellington Phoenix
269,16-04-2023,Wellington Phoenix,2 - 2,Brisbane Roar
270,21-04-2023,Western Sydney Wanderers,4 - 0,Wellington Phoenix
271,29-04-2023,Macarthur,0 - 1,Wellington Phoenix
272,05-05-2023,Adelaide United,2 - 0,Wellington Phoenix
273,09-10-2022,Western Sydney Wanderers,1 - 0,Perth Glory
274,15-10-2022,Melbourne Victory,0 - 1,Western Sydney Wanderers
275,22-10-2022,Western Sydney Wanderers,1 - 1,Brisbane Roar
276,28-10-2022,Western Sydney Wanderers,2 - 0,Newcastle Jets
277,05-11-2022,Western Sydney Wanderers,0 - 3,Central Coast Mariners
278,12-11-2022,Sydney FC,0 - 1,Western Sydney Wanderers
279,10-12-2022,Wellington Phoenix,1 - 1,Western Sydney Wanderers
280,18-12-2022,Western United FC,1 - 0,Western Sydney Wanderers
281,23-12-2022,Brisbane Roar,1 - 1,Western Sydney Wanderers
282,01-01-2023,Western Sydney Wanderers,4 - 0,Macarthur
283,06-01-2023,Perth Glory,1 - 0,Western Sydney Wanderers
284,15-01-2023,Western Sydney Wanderers,1 - 1,Melbourne City
285,22-01-2023,Newcastle Jets,1 - 1,Western Sydney Wanderers
286,28-01-2023,Central Coast Mariners,2 - 2,Western Sydney Wanderers
287,05-02-2023,Western Sydney Wanderers,1 - 0,Western United FC
288,11-02-2023,Western Sydney Wanderers,0 - 1,Sydney FC
289,19-02-2023,Adelaide United,4 - 4,Western Sydney Wanderers
290,25-02-2023,Western Sydney Wanderers,4 - 0,Macarthur
291,04-03-2023,Western Sydney Wanderers,2 - 0,Central Coast Mariners
292,10-03-2023,Perth Glory,1 - 0,Western Sydney Wanderers
293,18-03-2023,Sydney FC,0 - 4,Western Sydney Wanderers
294,31-03-2023,Western Sydney Wanderers,2 - 3,Adelaide United
295,08-04-2023,Macarthur,2 - 2,Western Sydney Wanderers
296,15-04-2023,Western Sydney Wanderers,2 - 1,Melbourne Victory
297,21-04-2023,Western Sydney Wanderers,4 - 0,Wellington Phoenix
298,28-04-2023,Melbourne City,3 - 2,Western Sydney Wanderers
299,06-05-2023,Western Sydney Wanderers,1 - 2,Sydney FC
300,07-10-2022,Melbourne City,2 - 1,Western United FC
301,16-10-2022,Western United FC,1 - 3,Sydney FC
302,21-10-2022,Western United FC,1 - 1,Macarthur
303,29-10-2022,Central Coast Mariners,4 - 2,Western United FC
304,06-11-2022,Western United FC,2 - 4,Adelaide United
305,13-11-2022,Wellington Phoenix,2 - 3,Western United FC
306,10-12-2022,Perth Glory,2 - 1,Western United FC
307,18-12-2022,Western United FC,1 - 0,Western Sydney Wanderers
308,26-12-2022,Western United FC,1 - 0,Melbourne Victory
309,30-12-2022,Western United FC,1 - 1,Brisbane Roar
310,07-01-2023,Melbourne City,4 - 0,Western United FC
311,15-01-2023,Western United FC,1 - 1,Newcastle Jets
312,21-01-2023,Western United FC,1 - 0,Sydney FC
313,28-01-2023,Macarthur,2 - 2,Western United FC
314,05-02-2023,Western Sydney Wanderers,1 - 0,Western United FC
315,11-02-2023,Western United FC,2 - 3,Adelaide United
316,17-02-2023,Western United FC,0 - 3,Wellington Phoenix
317,25-02-2023,Newcastle Jets,1 - 3,Western United FC
318,04-03-2023,Western United FC,2 - 1,Perth Glory
319,13-03-2023,Melbourne Victory,1 - 2,Western United FC
320,18-03-2023,Brisbane Roar,1 - 0,Western United FC
321,01-04-2023,Sydney FC,3 - 3,Western United FC
322,07-04-2023,Western United FC,0 - 3,Central Coast Mariners
323,16-04-2023,Adelaide United,0 - 1,Western United FC
324,22-04-2023,Western United FC,1 - 3,Melbourne City
325,29-04-2023,Perth Glory,1 - 2,Western United FC
