,date,home_team,score,away_team
221,16-07-2023,Internacional RS,? - ?,SE Palmeiras
222,15-04-2023,RB Bragantino,2 - 1,EC Bahia
223,22-04-2023,Cuiaba,1 - 1,RB Bragantino
224,29-04-2023,RB Bragantino,0 - 3,Cruzeiro
225,07-05-2023,Grêmio Porto Al,3 - 3,RB Bragantino
226,10-05-2023,RB Bragantino,2 - 2,America Mineiro
227,13-05-2023,SE Palmeiras,1 - 1,RB Bragantino
228,20-05-2023,RB Bragantino,2 - 0,CA Paranaense
229,28-05-2023,RB Bragantino,2 - 0,Santos
230,04-06-2023,Fluminense FC,2 - 1,RB Bragantino
231,10-06-2023,Atletico Mineiro,1 - 1,RB Bragantino
232,23-06-2023,RB Bragantino,4 - 0,Flamengo RJ
233,25-06-2023,RB Bragantino,2 - 0,Goiás EC
234,02-07-2023,Corinthians,0 - 1,RB Bragantino
235,09-07-2023,RB Bragantino,0 - 0,Sao Paulo
236,16-07-2023,Botafogo FR,? - ?,RB Bragantino
237,15-04-2023,SE Palmeiras,2 - 1,Cuiaba
238,23-04-2023,Vasco da Gama,2 - 2,SE Palmeiras
239,29-04-2023,SE Palmeiras,2 - 1,Corinthians
240,07-05-2023,Goiás EC,0 - 5,SE Palmeiras
241,11-05-2023,SE Palmeiras,4 - 1,Grêmio Porto Al
242,13-05-2023,SE Palmeiras,1 - 1,RB Bragantino
243,21-05-2023,Santos,0 - 0,SE Palmeiras
244,28-05-2023,Atletico Mineiro,1 - 1,SE Palmeiras
245,04-06-2023,SE Palmeiras,3 - 1,Coritiba FBC
246,11-06-2023,Sao Paulo,0 - 2,SE Palmeiras
247,22-06-2023,EC Bahia,1 - 0,SE Palmeiras
248,25-06-2023,SE Palmeiras,0 - 1,Botafogo FR
249,02-07-2023,CA Paranaense,2 - 2,SE Palmeiras
250,09-07-2023,SE Palmeiras,1 - 1,Flamengo RJ
251,16-07-2023,Internacional RS,? - ?,SE Palmeiras
252,16-04-2023,Grêmio Porto Al,1 - 0,Santos
253,23-04-2023,Santos,0 - 0,Atletico Mineiro
254,29-04-2023,Santos,3 - 2,America Mineiro
255,06-05-2023,Cruzeiro,2 - 1,Santos
256,10-05-2023,Santos,3 - 0,EC Bahia
257,14-05-2023,Vasco da Gama,0 - 1,Santos
258,21-05-2023,Santos,0 - 0,SE Palmeiras
259,28-05-2023,RB Bragantino,2 - 0,Santos
260,04-06-2023,Santos,1 - 1,Internacional RS
261,10-06-2023,Coritiba FBC,0 - 0,Santos
262,21-06-2023,Santos,0 - 2,Corinthians
263,25-06-2023,Santos,2 - 3,Flamengo RJ
264,02-07-2023,Cuiaba,3 - 0,Santos
265,09-07-2023,Santos,4 - 3,Goiás EC
266,16-07-2023,Sao Paulo,? - ?,Santos
267,15-04-2023,Botafogo FR,2 - 1,Sao Paulo
268,22-04-2023,Sao Paulo,3 - 0,America Mineiro
269,29-04-2023,Coritiba FBC,1 - 1,Sao Paulo
270,07-05-2023,Sao Paulo,2 - 0,Internacional RS
271,11-05-2023,Fortaleza EC,0 - 0,Sao Paulo
272,14-05-2023,Corinthians,1 - 1,Sao Paulo
273,20-05-2023,Sao Paulo,4 - 2,Vasco da Gama
274,28-05-2023,Sao Paulo,2 - 1,Goiás EC
275,04-06-2023,Grêmio Porto Al,2 - 1,Sao Paulo
276,11-06-2023,Sao Paulo,0 - 2,SE Palmeiras
277,21-06-2023,Sao Paulo,2 - 1,CA Paranaense
278,25-06-2023,Cruzeiro,1 - 0,Sao Paulo
279,01-07-2023,Sao Paulo,1 - 0,Fluminense FC
280,09-07-2023,RB Bragantino,0 - 0,Sao Paulo
281,16-07-2023,Sao Paulo,? - ?,Santos
282,16-04-2023,Atletico Mineiro,1 - 2,Vasco da Gama
283,23-04-2023,Vasco da Gama,2 - 2,SE Palmeiras
284,01-05-2023,Vasco da Gama,0 - 1,EC Bahia
285,07-05-2023,Fluminense FC,1 - 1,Vasco da Gama
286,11-05-2023,Coritiba FBC,1 - 1,Vasco da Gama
287,14-05-2023,Vasco da Gama,0 - 1,Santos
288,20-05-2023,Sao Paulo,4 - 2,Vasco da Gama
289,27-05-2023,Fortaleza EC,2 - 0,Vasco da Gama
290,05-06-2023,Vasco da Gama,1 - 4,Flamengo RJ
291,11-06-2023,Internacional RS,2 - 1,Vasco da Gama
292,22-06-2023,Vasco da Gama,0 - 1,Goiás EC
293,27-06-2023,Vasco da Gama,1 - 0,Cuiaba
294,02-07-2023,Botafogo FR,2 - 0,Vasco da Gama
295,08-07-2023,Vasco da Gama,0 - 1,Cruzeiro
