,date,home_team,score,away_team
290,09-10-2022,Sigma Olomouc,2 - 0,Slavia Praha
291,16-10-2022,Slavia Praha,2 - 1,Mlada Boleslav
292,23-10-2022,Slavia Praha,4 - 0,Sparta Praha
293,30-10-2022,Bohemians 1905,1 - 4,Slavia Praha
294,06-11-2022,Slavia Praha,3 - 1,Baník Ostrava
295,13-11-2022,Zlin,0 - 4,Slavia Praha
296,29-01-2023,Slavia Praha,5 - 1,FK Jablonec
297,04-02-2023,Pardubice,0 - 2,Slavia Praha
298,11-02-2023,Slavia Praha,2 - 0,Zbrojovka Brno
299,18-02-2023,Teplice,1 - 1,Slavia Praha
300,26-02-2023,Slavia Praha,2 - 0,Slovácko
301,05-03-2023,České Budějovice,1 - 0,Slavia Praha
302,11-03-2023,Slavia Praha,2 - 1,Plzen
303,18-03-2023,Slovan Liberec,2 - 2,Slavia Praha
304,01-04-2023,Slavia Praha,4 - 0,Sigma Olomouc
305,09-04-2023,Mlada Boleslav,1 - 1,Slavia Praha
306,15-04-2023,Sparta Praha,3 - 3,Slavia Praha
307,22-04-2023,Slavia Praha,3 - 0,Bohemians 1905
308,25-04-2023,Baník Ostrava,0 - 2,Slavia Praha
309,30-04-2023,Slavia Praha,1 - 1,Hradec Králové
310,07-05-2023,Slavia Praha,6 - 0,Bohemians 1905
311,13-05-2023,Sparta Praha,3 - 2,Slavia Praha
312,20-05-2023,Slavia Praha,2 - 1,Plzen
313,23-05-2023,Sigma Olomouc,2 - 3,Slavia Praha
314,27-05-2023,Slavia Praha,4 - 0,Slovácko
315,31-07-2022,Sparta Praha,1 - 2,Slovan Liberec
316,06-08-2022,Slovan Liberec,5 - 1,Teplice
317,14-08-2022,Pardubice,2 - 1,Slovan Liberec
318,21-08-2022,Slovan Liberec,1 - 1,České Budějovice
319,28-08-2022,Slovácko,1 - 2,Slovan Liberec
320,31-08-2022,Sigma Olomouc,1 - 1,Slovan Liberec
321,03-09-2022,Slovan Liberec,0 - 1,Plzen
322,11-09-2022,Bohemians 1905,0 - 2,Slovan Liberec
323,17-09-2022,Slovan Liberec,1 - 3,Mlada Boleslav
324,02-10-2022,Slavia Praha,3 - 0,Slovan Liberec
325,09-10-2022,Slovan Liberec,0 - 0,Baník Ostrava
326,16-10-2022,Zlin,2 - 1,Slovan Liberec
327,22-10-2022,Slovan Liberec,2 - 0,FK Jablonec
328,30-10-2022,Zbrojovka Brno,3 - 0,Slovan Liberec
329,06-11-2022,Slovan Liberec,2 - 0,Hradec Králové
330,12-11-2022,Teplice,2 - 1,Slovan Liberec
331,29-01-2023,Slovan Liberec,1 - 1,Pardubice
332,05-02-2023,České Budějovice,0 - 2,Slovan Liberec
333,11-02-2023,Slovan Liberec,0 - 1,Slovácko
334,18-02-2023,Slovan Liberec,2 - 2,Sigma Olomouc
335,25-02-2023,Plzen,2 - 1,Slovan Liberec
336,05-03-2023,Slovan Liberec,1 - 3,Bohemians 1905
337,12-03-2023,Mlada Boleslav,4 - 0,Slovan Liberec
338,18-03-2023,Slovan Liberec,2 - 2,Slavia Praha
339,01-04-2023,Baník Ostrava,0 - 0,Slovan Liberec
340,08-04-2023,Slovan Liberec,2 - 1,Zlin
341,15-04-2023,FK Jablonec,1 - 1,Slovan Liberec
342,23-04-2023,Slovan Liberec,3 - 1,Zbrojovka Brno
343,26-04-2023,Hradec Králové,1 - 2,Slovan Liberec
344,30-04-2023,Slovan Liberec,1 - 3,Sparta Praha
345,07-05-2023,České Budějovice,3 - 2,Slovan Liberec
346,13-05-2023,Slovan Liberec,4 - 0,České Budějovice
347,21-05-2023,Hradec Králové,0 - 4,Slovan Liberec
348,26-05-2023,Slovan Liberec,2 - 3,Hradec Králové
349,30-07-2022,Zbrojovka Brno,2 - 2,Slovácko
350,07-08-2022,Slovácko,1 - 0,Hradec Králové
351,14-08-2022,České Budějovice,2 - 2,Slovácko
352,21-08-2022,Sigma Olomouc,1 - 2,Slovácko
353,28-08-2022,Slovácko,1 - 2,Slovan Liberec
354,31-08-2022,Plzen,3 - 0,Slovácko
355,04-09-2022,Slovácko,1 - 1,Slavia Praha
356,11-09-2022,Mlada Boleslav,1 - 1,Slovácko
357,18-09-2022,Slovácko,0 - 2,FK Jablonec
358,02-10-2022,Zlin,0 - 2,Slovácko
359,09-10-2022,Slovácko,2 - 4,Bohemians 1905
360,16-10-2022,Baník Ostrava,3 - 1,Slovácko
361,23-10-2022,Slovácko,2 - 1,Teplice
362,06-11-2022,Slovácko,1 - 0,Pardubice
363,09-11-2022,Sparta Praha,4 - 0,Slovácko
364,13-11-2022,Hradec Králové,1 - 2,Slovácko
365,28-01-2023,Slovácko,1 - 0,České Budějovice
366,04-02-2023,Slovácko,0 - 0,Sigma Olomouc
367,11-02-2023,Slovan Liberec,0 - 1,Slovácko
368,19-02-2023,Slovácko,2 - 0,Plzen
369,26-02-2023,Slavia Praha,2 - 0,Slovácko
370,05-03-2023,Slovácko,2 - 1,Mlada Boleslav
371,19-03-2023,Slovácko,3 - 0,Zlin
372,02-04-2023,Bohemians 1905,1 - 0,Slovácko
373,05-04-2023,FK Jablonec,1 - 1,Slovácko
374,08-04-2023,Slovácko,0 - 1,Baník Ostrava
375,15-04-2023,Teplice,1 - 3,Slovácko
376,22-04-2023,Slovácko,1 - 1,Sparta Praha
377,25-04-2023,Pardubice,3 - 1,Slovácko
378,30-04-2023,Slovácko,1 - 0,Zbrojovka Brno
379,06-05-2023,Plzen,2 - 2,Slovácko
380,14-05-2023,Bohemians 1905,0 - 0,Slovácko
381,20-05-2023,Slovácko,2 - 2,Sigma Olomouc
382,23-05-2023,Slovácko,0 - 0,Sparta Praha
383,27-05-2023,Slavia Praha,4 - 0,Slovácko
384,31-07-2022,Sparta Praha,1 - 2,Slovan Liberec
385,07-08-2022,České Budějovice,0 - 2,Sparta Praha
386,14-08-2022,Sparta Praha,2 - 0,Sigma Olomouc
387,20-08-2022,Mlada Boleslav,1 - 3,Sparta Praha
388,27-08-2022,Sparta Praha,1 - 1,Bohemians 1905
389,30-08-2022,FK Jablonec,1 - 1,Sparta Praha
390,03-09-2022,Sparta Praha,0 - 0,Zlin
391,10-09-2022,Teplice,2 - 2,Sparta Praha
392,17-09-2022,Sparta Praha,1 - 1,Baník Ostrava
393,01-10-2022,Sparta Praha,2 - 1,Hradec Králové
394,08-10-2022,Zbrojovka Brno,0 - 4,Sparta Praha
395,15-10-2022,Sparta Praha,5 - 2,Pardubice
396,23-10-2022,Slavia Praha,4 - 0,Sparta Praha
397,05-11-2022,Plzen,0 - 1,Sparta Praha
398,09-11-2022,Sparta Praha,4 - 0,Slovácko
399,12-11-2022,Sparta Praha,1 - 0,České Budějovice
400,28-01-2023,Sigma Olomouc,1 - 1,Sparta Praha
401,05-02-2023,Sparta Praha,4 - 1,Mlada Boleslav
402,12-02-2023,Bohemians 1905,2 - 6,Sparta Praha
403,19-02-2023,Sparta Praha,3 - 0,FK Jablonec
404,25-02-2023,Zlin,2 - 3,Sparta Praha
405,04-03-2023,Sparta Praha,4 - 1,Teplice
406,11-03-2023,Baník Ostrava,0 - 3,Sparta Praha
407,18-03-2023,Hradec Králové,0 - 2,Sparta Praha
408,02-04-2023,Sparta Praha,3 - 1,Zbrojovka Brno
409,09-04-2023,Pardubice,0 - 2,Sparta Praha
410,15-04-2023,Sparta Praha,3 - 3,Slavia Praha
411,22-04-2023,Slovácko,1 - 1,Sparta Praha
412,26-04-2023,Sparta Praha,2 - 1,Plzen
413,30-04-2023,Slovan Liberec,1 - 3,Sparta Praha
414,07-05-2023,Sigma Olomouc,0 - 1,Sparta Praha
415,13-05-2023,Sparta Praha,3 - 2,Slavia Praha
416,20-05-2023,Sparta Praha,2 - 1,Bohemians 1905
417,23-05-2023,Slovácko,0 - 0,Sparta Praha
418,27-05-2023,Sparta Praha,0 - 1,Plzen
419,30-07-2022,Teplice,2 - 2,Plzen
420,06-08-2022,Slovan Liberec,5 - 1,Teplice
421,13-08-2022,Teplice,0 - 1,Bohemians 1905
