,date,home_team,score,away_team
237,21-04-2023,Colon,2 - 1,Velez Sarsfield
238,30-04-2023,Defensa y Justicia,2 - 0,Colon
239,06-05-2023,Colon,2 - 0,Banfield
240,13-05-2023,Instituto Cordoba,1 - 0,Colon
241,21-05-2023,Colon,1 - 1,Barracas Central
242,29-05-2023,Colon,2 - 2,CA Central Córdoba de Santiago del Estero
243,04-06-2023,San Lorenzo,0 - 0,Colon
244,13-06-2023,Colon,1 - 0,Estudiantes LP
245,25-06-2023,Rosario Central,1 - 1,Colon
246,02-07-2023,Colon,0 - 4,Racing Club
247,06-07-2023,River Plate,2 - 0,Colon
248,10-07-2023,Colon,0 - 0,Belgrano Cordoba
249,17-07-2023,Argentinos Jrs,? - ?,Colon
250,28-01-2023,Defensa y Justicia,2 - 4,Huracan
251,06-02-2023,Gimnasia LP,0 - 2,Defensa y Justicia
252,11-02-2023,Defensa y Justicia,1 - 0,Newells
253,20-02-2023,CA Independiente,0 - 2,Defensa y Justicia
254,26-02-2023,Defensa y Justicia,3 - 0,CA Tucuman
255,07-03-2023,Boca Juniors,0 - 0,Defensa y Justicia
256,11-03-2023,Defensa y Justicia,1 - 1,Talleres Cord.
257,18-03-2023,Platense,1 - 0,Defensa y Justicia
258,30-03-2023,Defensa y Justicia,0 - 0,Velez Sarsfield
259,08-04-2023,Defensa y Justicia,1 - 2,CA Central Córdoba de Santiago del Estero
260,12-04-2023,Banfield,0 - 3,Defensa y Justicia
261,15-04-2023,Defensa y Justicia,1 - 0,Instituto Cordoba
262,24-04-2023,Barracas Central,0 - 2,Defensa y Justicia
263,30-04-2023,Defensa y Justicia,2 - 0,Colon
264,08-05-2023,San Lorenzo,0 - 0,Defensa y Justicia
265,14-05-2023,Defensa y Justicia,1 - 1,Estudiantes LP
266,19-05-2023,Rosario Central,2 - 1,Defensa y Justicia
267,28-05-2023,Defensa y Justicia,1 - 1,Racing Club
268,13-06-2023,Defensa y Justicia,2 - 0,Belgrano Cordoba
269,18-06-2023,River Plate,1 - 0,Defensa y Justicia
270,24-06-2023,Argentinos Jrs,3 - 1,Defensa y Justicia
271,02-07-2023,Defensa y Justicia,1 - 0,Tigre
272,06-07-2023,Arsenal de Sarandi,1 - 2,Defensa y Justicia
273,09-07-2023,Defensa y Justicia,2 - 2,Lanus
274,14-07-2023,Godoy Cruz,? - ?,Defensa y Justicia
275,27-01-2023,Estudiantes LP,1 - 2,Tigre
276,04-02-2023,Arsenal de Sarandi,1 - 1,Estudiantes LP
277,13-02-2023,Estudiantes LP,0 - 2,Lanus
278,18-02-2023,Godoy Cruz,0 - 1,Estudiantes LP
279,25-02-2023,Estudiantes LP,1 - 1,Sarmiento Junin
280,03-03-2023,Union Santa Fe,2 - 0,Estudiantes LP
281,12-03-2023,Estudiantes LP,2 - 1,Huracan
282,19-03-2023,Gimnasia LP,2 - 1,Estudiantes LP
283,31-03-2023,Estudiantes LP,3 - 0,Newells
284,09-04-2023,CA Independiente,1 - 2,Estudiantes LP
285,13-04-2023,Estudiantes LP,0 - 0,CA Tucuman
286,15-04-2023,Boca Juniors,0 - 1,Estudiantes LP
287,23-04-2023,Estudiantes LP,1 - 0,Talleres Cord.
288,27-04-2023,Platense,1 - 2,Estudiantes LP
289,08-05-2023,Estudiantes LP,2 - 0,Velez Sarsfield
290,14-05-2023,Defensa y Justicia,1 - 1,Estudiantes LP
291,19-05-2023,Estudiantes LP,1 - 0,Banfield
292,29-05-2023,Instituto Cordoba,0 - 0,Estudiantes LP
293,02-06-2023,Estudiantes LP,5 - 2,Barracas Central
294,13-06-2023,Colon,1 - 0,Estudiantes LP
295,21-06-2023,Estudiantes LP,1 - 1,San Lorenzo
296,01-07-2023,Estudiantes LP,1 - 1,CA Central Córdoba de Santiago del Estero
297,05-07-2023,Rosario Central,0 - 0,Estudiantes LP
298,08-07-2023,Estudiantes LP,0 - 0,Racing Club
299,15-07-2023,River Plate,? - ?,Estudiantes LP
300,30-01-2023,Velez Sarsfield,3 - 1,Gimnasia LP
301,06-02-2023,Gimnasia LP,0 - 2,Defensa y Justicia
