,date,home_team,score,away_team
172,11-02-2023,Almeria,2 - 3,Betis
173,18-02-2023,Betis,2 - 1,Valladolid
174,24-02-2023,Elche,2 - 3,Betis
175,05-03-2023,Betis,0 - 0,Real Madrid
176,12-03-2023,Villarreal,1 - 1,Betis
177,19-03-2023,Betis,1 - 0,Mallorca
178,02-04-2023,Ath Madrid,1 - 0,Betis
179,09-04-2023,Betis,0 - 2,Cadiz
180,15-04-2023,Betis,3 - 1,Espanol
181,22-04-2023,Osasuna,3 - 2,Betis
182,25-04-2023,Betis,0 - 0,Sociedad
183,29-04-2023,Barcelona,4 - 0,Betis
184,04-05-2023,Ath Bilbao,0 - 1,Betis
185,15-05-2023,Betis,3 - 1,Vallecano
186,21-05-2023,Sevilla,0 - 0,Betis
187,24-05-2023,Betis,0 - 1,Getafe
188,28-05-2023,Girona,1 - 2,Betis
189,04-06-2023,Betis,1 - 1,Valencia
190,14-08-2022,Cadiz,0 - 1,Sociedad
191,20-08-2022,Osasuna,2 - 0,Cadiz
192,29-08-2022,Cadiz,0 - 4,Ath Bilbao
193,02-09-2022,Celta,3 - 0,Cadiz
194,10-09-2022,Cadiz,0 - 4,Barcelona
195,16-09-2022,Valladolid,0 - 1,Cadiz
196,01-10-2022,Cadiz,0 - 0,Villarreal
197,09-10-2022,Cadiz,2 - 2,Espanol
198,15-10-2022,Girona,1 - 1,Cadiz
199,19-10-2022,Cadiz,0 - 0,Betis
200,22-10-2022,Vallecano,5 - 1,Cadiz
201,29-10-2022,Cadiz,3 - 2,Ath Madrid
202,05-11-2022,Getafe,0 - 0,Cadiz
203,10-11-2022,Real Madrid,2 - 1,Cadiz
204,30-12-2022,Cadiz,1 - 1,Almeria
205,06-01-2023,Valencia,0 - 1,Cadiz
206,16-01-2023,Cadiz,1 - 1,Elche
207,21-01-2023,Sevilla,1 - 0,Cadiz
208,28-01-2023,Cadiz,2 - 0,Mallorca
209,03-02-2023,Ath Bilbao,4 - 1,Cadiz
210,10-02-2023,Cadiz,2 - 0,Girona
211,19-02-2023,Barcelona,2 - 0,Cadiz
212,25-02-2023,Cadiz,1 - 0,Vallecano
213,03-03-2023,Sociedad,0 - 0,Cadiz
214,10-03-2023,Cadiz,2 - 2,Getafe
215,18-03-2023,Almeria,1 - 1,Cadiz
216,01-04-2023,Cadiz,0 - 2,Sevilla
217,09-04-2023,Betis,0 - 2,Cadiz
218,15-04-2023,Cadiz,0 - 2,Real Madrid
219,21-04-2023,Espanol,0 - 0,Cadiz
220,25-04-2023,Cadiz,0 - 1,Osasuna
221,30-04-2023,Cadiz,2 - 1,Valencia
222,03-05-2023,Ath Madrid,5 - 1,Cadiz
223,12-05-2023,Mallorca,1 - 0,Cadiz
224,19-05-2023,Cadiz,2 - 0,Valladolid
225,24-05-2023,Villarreal,2 - 0,Cadiz
226,28-05-2023,Cadiz,1 - 0,Celta
227,04-06-2023,Elche,1 - 1,Cadiz
228,13-08-2022,Celta,2 - 2,Espanol
229,20-08-2022,Celta,1 - 4,Real Madrid
230,26-08-2022,Girona,0 - 1,Celta
231,02-09-2022,Celta,3 - 0,Cadiz
232,10-09-2022,Ath Madrid,4 - 1,Celta
233,17-09-2022,Valencia,3 - 0,Celta
234,02-10-2022,Celta,1 - 0,Betis
235,09-10-2022,Barcelona,1 - 0,Celta
236,16-10-2022,Celta,1 - 2,Sociedad
237,19-10-2022,Valladolid,4 - 1,Celta
238,24-10-2022,Celta,1 - 1,Getafe
239,29-10-2022,Almeria,3 - 1,Celta
240,05-11-2022,Celta,1 - 2,Osasuna
241,10-11-2022,Vallecano,0 - 0,Celta
242,30-12-2022,Celta,1 - 1,Sevilla
243,06-01-2023,Elche,0 - 1,Celta
244,13-01-2023,Celta,1 - 1,Villarreal
