,date,home_team,score,away_team
154,01-10-2022,Grasshoppers,1 - 1,FC Zurich
155,09-10-2022,FC Zurich,0 - 0,FC Winterthur
156,16-10-2022,FC Zurich,0 - 0,Young Boys
157,20-10-2022,Basel,0 - 0,FC Zurich
158,23-10-2022,FC Zurich,1 - 4,Grasshoppers
159,30-10-2022,FC Sion,0 - 1,FC Zurich
160,06-11-2022,FC Lugano,2 - 0,FC Zurich
161,13-11-2022,FC Zurich,4 - 1,Servette FC
162,21-01-2023,Lucerne,2 - 2,FC Zurich
163,29-01-2023,FC Zurich,1 - 0,St Gallen
164,05-02-2023,FC Sion,0 - 1,FC Zurich
165,12-02-2023,FC Zurich,1 - 1,FC Winterthur
166,19-02-2023,Grasshoppers,1 - 2,FC Zurich
167,25-02-2023,FC Zurich,2 - 2,Young Boys
168,05-03-2023,FC Zurich,1 - 1,Servette FC
169,11-03-2023,FC Lugano,2 - 0,FC Zurich
170,18-03-2023,FC Zurich,2 - 1,Lucerne
171,02-04-2023,St Gallen,2 - 2,FC Zurich
172,08-04-2023,FC Zurich,1 - 1,Basel
173,15-04-2023,Lucerne,4 - 1,FC Zurich
174,23-04-2023,FC Zurich,1 - 0,St Gallen
175,26-04-2023,Servette FC,4 - 0,FC Zurich
176,30-04-2023,FC Zurich,2 - 2,FC Sion
177,07-05-2023,Basel,0 - 2,FC Zurich
178,14-05-2023,Young Boys,1 - 1,FC Zurich
179,21-05-2023,FC Zurich,2 - 1,Grasshoppers
180,25-05-2023,FC Winterthur,0 - 2,FC Zurich
181,29-05-2023,FC Zurich,2 - 3,FC Lugano
182,24-07-2022,Grasshoppers,2 - 1,FC Lugano
183,31-07-2022,Young Boys,1 - 1,Grasshoppers
184,06-08-2022,Grasshoppers,3 - 2,St Gallen
185,10-08-2022,Lucerne,1 - 1,Grasshoppers
186,13-08-2022,FC Sion,2 - 2,Grasshoppers
187,27-08-2022,Servette FC,3 - 1,Grasshoppers
188,04-09-2022,Grasshoppers,3 - 0,FC Winterthur
189,11-09-2022,Basel,5 - 1,Grasshoppers
190,01-10-2022,Grasshoppers,1 - 1,FC Zurich
191,08-10-2022,Grasshoppers,4 - 4,FC Sion
192,15-10-2022,FC Winterthur,1 - 0,Grasshoppers
193,20-10-2022,Grasshoppers,2 - 3,Servette FC
194,23-10-2022,FC Zurich,1 - 4,Grasshoppers
195,29-10-2022,Grasshoppers,1 - 3,Lucerne
196,05-11-2022,St Gallen,2 - 1,Grasshoppers
197,12-11-2022,Grasshoppers,1 - 0,Basel
198,21-01-2023,Grasshoppers,1 - 2,Young Boys
199,28-01-2023,FC Lugano,1 - 1,Grasshoppers
200,04-02-2023,Grasshoppers,1 - 0,Basel
201,11-02-2023,Servette FC,2 - 1,Grasshoppers
202,19-02-2023,Grasshoppers,1 - 2,FC Zurich
203,26-02-2023,Lucerne,1 - 0,Grasshoppers
204,05-03-2023,St Gallen,1 - 1,Grasshoppers
205,12-03-2023,Grasshoppers,2 - 1,FC Winterthur
206,18-03-2023,FC Sion,1 - 2,Grasshoppers
207,02-04-2023,Grasshoppers,2 - 1,FC Lugano
