,date,home_team,score,away_team
441,14-05-2023,RB Leipzig,2 - 1,Werder Bremen
442,20-05-2023,Bayern Munich,1 - 3,RB Leipzig
443,27-05-2023,RB Leipzig,4 - 2,Schalke 04
444,07-08-2022,FC Koln,3 - 1,Schalke 04
445,13-08-2022,Schalke 04,2 - 2,M''gladbach
446,20-08-2022,Wolfsburg,0 - 0,Schalke 04
447,27-08-2022,Schalke 04,1 - 6,Union Berlin
448,03-09-2022,Stuttgart,1 - 1,Schalke 04
449,10-09-2022,Schalke 04,3 - 1,Bochum
450,17-09-2022,Dortmund,1 - 0,Schalke 04
451,02-10-2022,Schalke 04,2 - 3,Augsburg
452,08-10-2022,Leverkusen,4 - 0,Schalke 04
453,14-10-2022,Schalke 04,0 - 3,Hoffenheim
454,23-10-2022,Hertha,2 - 1,Schalke 04
455,30-10-2022,Schalke 04,0 - 2,Freiburg
456,05-11-2022,Werder Bremen,2 - 1,Schalke 04
457,09-11-2022,Schalke 04,1 - 0,Mainz
458,12-11-2022,Schalke 04,0 - 2,Bayern Munich
459,21-01-2023,Ein Frankfurt,3 - 0,Schalke 04
460,24-01-2023,Schalke 04,1 - 6,RB Leipzig
461,29-01-2023,Schalke 04,0 - 0,FC Koln
462,04-02-2023,M''gladbach,0 - 0,Schalke 04
463,10-02-2023,Schalke 04,0 - 0,Wolfsburg
464,19-02-2023,Union Berlin,0 - 0,Schalke 04
465,25-02-2023,Schalke 04,2 - 1,Stuttgart
466,04-03-2023,Bochum,0 - 2,Schalke 04
467,11-03-2023,Schalke 04,2 - 2,Dortmund
468,18-03-2023,Augsburg,1 - 1,Schalke 04
469,01-04-2023,Schalke 04,0 - 3,Leverkusen
470,09-04-2023,Hoffenheim,2 - 0,Schalke 04
471,14-04-2023,Schalke 04,5 - 2,Hertha
472,23-04-2023,Freiburg,4 - 0,Schalke 04
473,29-04-2023,Schalke 04,2 - 1,Werder Bremen
474,05-05-2023,Mainz,2 - 3,Schalke 04
475,13-05-2023,Bayern Munich,6 - 0,Schalke 04
476,20-05-2023,Schalke 04,2 - 2,Ein Frankfurt
477,27-05-2023,RB Leipzig,4 - 2,Schalke 04
478,07-08-2022,Stuttgart,1 - 1,RB Leipzig
479,13-08-2022,Werder Bremen,2 - 2,Stuttgart
480,20-08-2022,Stuttgart,0 - 1,Freiburg
481,28-08-2022,FC Koln,0 - 0,Stuttgart
482,03-09-2022,Stuttgart,1 - 1,Schalke 04
483,10-09-2022,Bayern Munich,2 - 2,Stuttgart
484,17-09-2022,Stuttgart,1 - 3,Ein Frankfurt
485,01-10-2022,Wolfsburg,3 - 2,Stuttgart
486,09-10-2022,Stuttgart,0 - 1,Union Berlin
