,date,home_team,score,away_team
180,15-04-2023,Chelsea,1 - 2,Brighton
181,26-04-2023,Nott'm Forest,3 - 1,Brighton
182,29-04-2023,Brighton,6 - 0,Wolves
183,04-05-2023,Brighton,1 - 0,Man United
184,08-05-2023,Brighton,1 - 5,Everton
185,14-05-2023,Arsenal,0 - 3,Brighton
186,18-05-2023,Newcastle,4 - 1,Brighton
187,21-05-2023,Brighton,3 - 1,Southampton
188,24-05-2023,Brighton,1 - 1,Man City
189,28-05-2023,Aston Villa,2 - 1,Brighton
190,06-08-2022,Everton,0 - 1,Chelsea
191,14-08-2022,Chelsea,2 - 2,Tottenham
192,21-08-2022,Leeds,3 - 0,Chelsea
193,27-08-2022,Chelsea,2 - 1,Leicester
194,30-08-2022,Southampton,2 - 1,Chelsea
195,03-09-2022,Chelsea,2 - 1,West Ham
196,01-10-2022,Crystal Palace,1 - 2,Chelsea
197,08-10-2022,Chelsea,3 - 0,Wolves
198,16-10-2022,Aston Villa,0 - 2,Chelsea
199,19-10-2022,Brentford,0 - 0,Chelsea
200,22-10-2022,Chelsea,1 - 1,Man United
201,29-10-2022,Brighton,4 - 1,Chelsea
202,06-11-2022,Chelsea,0 - 1,Arsenal
203,12-11-2022,Newcastle,1 - 0,Chelsea
204,27-12-2022,Chelsea,2 - 0,Bournemouth
205,01-01-2023,Nott'm Forest,1 - 1,Chelsea
206,05-01-2023,Chelsea,0 - 1,Man City
207,12-01-2023,Fulham,2 - 1,Chelsea
208,15-01-2023,Chelsea,1 - 0,Crystal Palace
209,21-01-2023,Liverpool,0 - 0,Chelsea
210,03-02-2023,Chelsea,0 - 0,Fulham
211,11-02-2023,West Ham,1 - 1,Chelsea
212,18-02-2023,Chelsea,0 - 1,Southampton
213,26-02-2023,Tottenham,2 - 0,Chelsea
214,04-03-2023,Chelsea,1 - 0,Leeds
215,11-03-2023,Leicester,1 - 3,Chelsea
216,18-03-2023,Chelsea,2 - 2,Everton
217,01-04-2023,Chelsea,0 - 2,Aston Villa
218,04-04-2023,Chelsea,0 - 0,Liverpool
219,08-04-2023,Wolves,1 - 0,Chelsea
220,15-04-2023,Chelsea,1 - 2,Brighton
221,26-04-2023,Chelsea,0 - 2,Brentford
