,date,home_team,score,away_team
294,26-02-2023,Porto,1 - 2,Gil Vicente
295,05-03-2023,Gil Vicente,2 - 0,Maritimo
296,12-03-2023,Rio Ave,2 - 1,Gil Vicente
297,31-03-2023,Estoril,1 - 0,Gil Vicente
298,05-04-2023,Gil Vicente,0 - 0,Sp Lisbon
299,10-04-2023,Gil Vicente,0 - 0,Chaves
300,16-04-2023,Sp Braga,1 - 0,Gil Vicente
301,23-04-2023,Portimonense SC,1 - 0,Gil Vicente
302,29-04-2023,Gil Vicente,0 - 2,Benfica
303,06-05-2023,CD Santa Clara,3 - 2,Gil Vicente
304,12-05-2023,Gil Vicente,3 - 1,Boavista
305,21-05-2023,Guimaraes,1 - 0,Gil Vicente
306,27-05-2023,Gil Vicente,1 - 0,Casa Pia
307,07-08-2022,Chaves,0 - 1,Guimaraes
308,14-08-2022,Guimaraes,1 - 0,Estoril
309,21-08-2022,Portimonense SC,2 - 1,Guimaraes
310,29-08-2022,Guimaraes,0 - 1,Casa Pia
311,03-09-2022,Sp Braga,1 - 0,Guimaraes
312,09-09-2022,Guimaraes,1 - 0,CD Santa Clara
313,18-09-2022,Arouca,2 - 2,Guimaraes
314,01-10-2022,Guimaraes,0 - 0,Benfica
315,08-10-2022,Pacos Ferreira,0 - 1,Guimaraes
316,23-10-2022,Guimaraes,3 - 2,Boavista
317,31-10-2022,Guimaraes,3 - 2,FC Famalicão
318,05-11-2022,Sp Lisbon,3 - 0,Guimaraes
319,13-11-2022,Guimaraes,1 - 0,Maritimo
320,30-12-2022,Vizela,3 - 0,Guimaraes
321,07-01-2023,Guimaraes,0 - 0,Rio Ave
322,16-01-2023,Gil Vicente,2 - 1,Guimaraes
323,21-01-2023,Guimaraes,0 - 1,Porto
324,30-01-2023,Guimaraes,2 - 1,Chaves
325,04-02-2023,Estoril,0 - 1,Guimaraes
326,11-02-2023,Guimaraes,1 - 0,Portimonense SC
327,19-02-2023,Casa Pia,0 - 0,Guimaraes
328,27-02-2023,Guimaraes,2 - 1,Sp Braga
329,05-03-2023,CD Santa Clara,1 - 3,Guimaraes
330,11-03-2023,Guimaraes,0 - 2,Arouca
331,18-03-2023,Benfica,5 - 1,Guimaraes
332,01-04-2023,Guimaraes,0 - 0,Pacos Ferreira
333,07-04-2023,Boavista,2 - 1,Guimaraes
334,14-04-2023,FC Famalicão,2 - 1,Guimaraes
335,24-04-2023,Guimaraes,0 - 2,Sp Lisbon
336,29-04-2023,Maritimo,1 - 2,Guimaraes
337,07-05-2023,Guimaraes,3 - 0,Vizela
338,14-05-2023,Rio Ave,0 - 1,Guimaraes
339,21-05-2023,Guimaraes,1 - 0,Gil Vicente
340,27-05-2023,Porto,3 - 0,Guimaraes
341,06-08-2022,Porto,5 - 1,Maritimo
342,15-08-2022,Maritimo,1 - 2,Chaves
343,21-08-2022,Sp Braga,5 - 0,Maritimo
344,27-08-2022,Maritimo,0 - 1,Portimonense SC
345,04-09-2022,CD Santa Clara,2 - 1,Maritimo
346,11-09-2022,Maritimo,1 - 2,Gil Vicente
347,18-09-2022,Benfica,5 - 0,Maritimo
348,03-10-2022,Maritimo,1 - 2,Casa Pia
349,09-10-2022,Boavista,1 - 1,Maritimo
350,23-10-2022,Maritimo,1 - 1,Arouca
351,28-10-2022,Pacos Ferreira,0 - 1,Maritimo
352,06-11-2022,Maritimo,0 - 0,FC Famalicão
353,13-11-2022,Guimaraes,1 - 0,Maritimo
354,23-12-2022,Rio Ave,1 - 1,Maritimo
355,08-01-2023,Maritimo,1 - 0,Sp Lisbon
356,14-01-2023,Vizela,3 - 0,Maritimo
357,22-01-2023,Maritimo,1 - 0,Estoril
358,01-02-2023,Maritimo,0 - 2,Porto
359,05-02-2023,Chaves,2 - 1,Maritimo
360,12-02-2023,Maritimo,1 - 2,Sp Braga
361,18-02-2023,Portimonense SC,2 - 1,Maritimo
362,25-02-2023,Maritimo,3 - 1,CD Santa Clara
363,05-03-2023,Gil Vicente,2 - 0,Maritimo
364,12-03-2023,Maritimo,0 - 3,Benfica
365,19-03-2023,Casa Pia,2 - 0,Maritimo
366,02-04-2023,Maritimo,4 - 2,Boavista
