,date,home_team,score,away_team
204,01-10-2022,Swarovski Watt,0 - 5,Rapid Vienna
205,09-10-2022,Rapid Vienna,1 - 2,FK Austria Vienna
206,15-10-2022,SV Ried,1 - 0,Rapid Vienna
207,22-10-2022,Rapid Vienna,0 - 1,Austria Klagenfurt
208,26-10-2022,Rapid Vienna,5 - 1,Hartberg
209,29-10-2022,Austria Lustenau,3 - 3,Rapid Vienna
210,06-11-2022,Rapid Vienna,1 - 0,LASK Linz
211,12-11-2022,Hartberg,1 - 2,Rapid Vienna
212,10-02-2023,SK Sturm Graz,1 - 0,Rapid Vienna
213,19-02-2023,Rapid Vienna,3 - 0,SCR Altach
214,26-02-2023,Wolfsberger AC,1 - 2,Rapid Vienna
215,05-03-2023,Rapid Vienna,2 - 4,FC Salzburg
216,12-03-2023,Rapid Vienna,2 - 0,Swarovski Watt
217,19-03-2023,FK Austria Vienna,2 - 0,Rapid Vienna
218,02-04-2023,SK Sturm Graz,3 - 1,Rapid Vienna
219,09-04-2023,Rapid Vienna,3 - 1,Austria Klagenfurt
220,16-04-2023,Rapid Vienna,3 - 3,FK Austria Vienna
221,23-04-2023,LASK Linz,3 - 1,Rapid Vienna
222,26-04-2023,Rapid Vienna,1 - 1,FC Salzburg
223,07-05-2023,FC Salzburg,2 - 1,Rapid Vienna
224,14-05-2023,FK Austria Vienna,3 - 1,Rapid Vienna
225,21-05-2023,Rapid Vienna,1 - 1,LASK Linz
226,28-05-2023,Rapid Vienna,3 - 2,SK Sturm Graz
227,03-06-2023,Austria Klagenfurt,2 - 1,Rapid Vienna
228,24-07-2022,Hartberg,2 - 1,SCR Altach
229,30-07-2022,SCR Altach,2 - 2,Wolfsberger AC
230,07-08-2022,SCR Altach,3 - 2,FK Austria Vienna
231,13-08-2022,SK Sturm Graz,4 - 0,SCR Altach
232,20-08-2022,SCR Altach,1 - 2,Austria Lustenau
233,27-08-2022,LASK Linz,4 - 1,SCR Altach
234,04-09-2022,SCR Altach,0 - 1,Rapid Vienna
235,10-09-2022,Swarovski Watt,0 - 0,SCR Altach
236,17-09-2022,SCR Altach,1 - 4,Austria Klagenfurt
237,02-10-2022,SV Ried,2 - 3,SCR Altach
238,08-10-2022,SCR Altach,2 - 3,FC Salzburg
239,16-10-2022,SCR Altach,1 - 0,Hartberg
240,23-10-2022,Wolfsberger AC,2 - 3,SCR Altach
